Date,JSE Close
7/11/2022,67226.75
7/12/2022,67163.71
7/13/2022,66142.69
7/14/2022,64712.88
7/15/2022,65088.9
7/18/2022,67016.14
7/19/2022,67785.04
7/20/2022,67652.46
7/21/2022,67907.24
7/22/2022,68069.58
7/25/2022,67749.79
7/26/2022,68421.8
7/27/2022,68424.97
7/28/2022,68610.75
7/29/2022,68934.01
8/1/2022,68642.59
8/2/2022,68002.23
8/3/2022,68610.57
8/4/2022,68717.02
8/5/2022,69519.27
8/8/2022,70266.13
8/9/2022,70266.13
8/10/2022,69744.9
8/11/2022,71264.77
8/12/2022,70731.32
8/15/2022,70740.63
8/16/2022,71504.69
8/17/2022,70967.35
8/18/2022,71011.38
8/19/2022,69719.43
8/22/2022,69195.6
8/23/2022,69772.27
8/24/2022,69808.71
8/25/2022,70340.7
8/26/2022,70173.09
8/29/2022,69207.02
8/30/2022,67900.48
8/31/2022,67257.14
9/1/2022,66021.71
9/2/2022,67378.31
9/5/2022,67399.39
9/6/2022,67538.77
9/7/2022,66715.83
9/8/2022,67260.23
9/9/2022,68708.48
9/12/2022,69772.41
9/13/2022,68273.71
9/14/2022,67964.02
9/15/2022,67568.26
9/16/2022,66584.34
9/19/2022,66474.86
9/20/2022,66602.84
9/21/2022,66208.71
9/22/2022,65276.97
9/23/2022,63416.66
9/26/2022,63625.66
9/27/2022,64025.95
9/28/2022,63808.32
9/29/2022,63263.94
9/30/2022,63726.37
10/3/2022,64227.23
10/4/2022,66312.83
10/5/2022,65612.76
10/6/2022,65832.67
10/7/2022,65675.48
